0,273,283,293,298.15,303,313,323,333
0.1,10,10,10,10,10,10,10,10
0.3,10,10,10,10,10,10,10,10
0.396975,10,10,10,10,10,10,10,10
0.4229,10,10,10,10,10,10,10,10
0.47765,10,10,10,10,10,10,10,10
0.531675,10,10,10,10,10,10,10,10
0.5785,10,10,10,10,10,10,10,10
0.6334,10,10,10,10,10,10,10,10
0.6965,10,10,10,10,10,10,10,10
0.74615,10,10,10,10,10,10,10,10
0.790725,10,10,10,10,10,10,10,10
0.83,10,10,10,10,10,10,10,10
0.85,10,10,10,10,10,10,10,10
0.863549244,10,10,10,10,10,10,10,10
0.870835735,10,10,10,10,10,10,10,10
0.878192733,10,10,10,10,10,10,10,10
0.885743387,10,10,10,10,10,10,10,10
0.89323802,10,10,10,10,10,10,10,10
0.90087843,10,10,10,10,10,10,10,10
0.908906616,10,10,10,10,10,10,10,10
0.917011556,10,10,10,10,10,10,10,10
0.925638091,10,10,10,10,10,10,10,10
0.934598841,10,10,10,10,10,10,10,10
0.94393729,10,10,10,10,10,10,10,10
0.95263513,10,10,10,10,10,10,10,10
0.96079051,10,10,10,10,10,10,10,10
0.968809009,10,10,10,10,10,10,10,10
0.975,10,10,10,10,10,10,10,10
0.985,10,10,10,10,10,10,10,10
1,10,10,10,10,10,10,10,10
