0,273,283,293,298.15,303,313,323,333
1,0.375078369,1.0318141079,2.649002131,4.2,6.3904981726,14.5730101983,31.5788084424,65.3237713002
0.85,0.3757034996,1.0335337981,2.6534171345,4.207,6.4011490029,14.5972985486,31.6314397898,65.4326442523
0.65,0.3763286302,1.0352534883,2.6578321381,4.214,6.4117998332,14.621586899,31.6840711372,65.5415172045
0.516,0.3840088064,1.0563811105,2.7120736103,4.3,6.542652891,14.9199866316,32.3306848339,66.8790991883
0.2906,0.4286609932,1.1792161233,3.0274310068,4.8,7.303426483,16.6548687981,36.0900667913,74.6557386288
0.2219,0.4599175239,1.2652006323,3.2481811844,5.15,7.8359679974,17.8692863146,38.7216341615,80.0993862371
0.1894,0.4822436173,1.3266181387,3.4058598827,5.4,8.2163547934,18.7367273978,40.6013251402,83.9877059573
0.1397,0.5447566788,1.4985871567,3.8473602379,6.1,9.2814378222,21.1655624309,45.8644598806,94.875001174
0.0603,0.706397595,1.9432499032,4.9889540133,7.91,12.0354382251,27.4458358735,59.4734225665,123.0264359486
0,0.8930437358,2.4567002569,6.3071479309,10,15.2154718396,34.6976433293,75.1876391485,155.5327888099
