1500,3.21419E-012,7.57E-012,1.53653E-011,2.8026E-011,4.72127E-011,7.46391E-011,9.34113E-011,1.12184E-010,1.61435E-010,2.23945E-010,2.23945E-010
1550,2.85166E-012,6.8906E-012,1.42285E-011,2.62649E-011,4.46311E-011,7.11103E-011,8.92517E-011,1.07393E-010,1.553E-010,2.16427E-010,2.16427E-010
1600,2.51955E-012,6.25712E-012,1.31448E-011,2.45891E-011,4.22029E-011,6.76471E-011,8.52354E-011,1.02824E-010,1.49486E-010,2.0901E-010,2.0901E-010
1650,2.21043E-012,5.66044E-012,1.21347E-011,2.29792E-011,3.98365E-011,6.43782E-011,8.14141E-011,9.84499E-011,1.43793E-010,2.02016E-010,2.02016E-010
1700,1.93719E-012,5.10878E-012,1.11687E-011,2.14494E-011,3.75775E-011,6.12078E-011,7.76568E-011,9.41057E-011,1.38145E-010,1.95102E-010,1.95102E-010
1750,1.6846E-012,4.59983E-012,1.02711E-011,2.00054E-011,3.53842E-011,5.81382E-011,7.40629E-011,8.99875E-011,1.32784E-010,1.88307E-010,1.88307E-010
2000,7.64637E-013,2.56156E-012,6.49311E-012,1.37608E-011,2.58394E-011,4.43622E-011,5.77609E-011,7.11595E-011,1.08038E-010,1.57033E-010,1.57033E-010
2500,6.56745E-014,4.88619E-013,1.91975E-012,5.31176E-012,1.19333E-011,2.32478E-011,3.20823E-011,4.09168E-011,6.71218E-011,1.0353E-010,1.0353E-010
2750,9.71357E-015,1.6445E-013,8.38393E-013,2.77187E-012,7.19109E-012,1.54118E-011,2.2266E-011,2.91201E-011,5.01497E-011,8.05454E-011,8.05454E-011
3000,3.78019E-016,2.40621E-014,2.58654E-013,1.27523E-012,3.99563E-012,9.87373E-012,1.49608E-011,2.00478E-011,3.74296E-011,6.2792E-011,6.2792E-011
4000,3.78019E-016,2.40621E-014,2.58654E-013,1.27523E-012,3.99563E-012,9.87373E-012,1.49608E-011,2.00478E-011,3.74296E-011,6.2792E-011,6.2792E-011
