0,243,253,263,273,283,293,298,303,313,325
0.001,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
50,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
100,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
150,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
200,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
250,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
300,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
350,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
400,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
450,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
500,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
550,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
600,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
650,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
700,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
750,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
800,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
850,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
900,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
950,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1000,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1050,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1100,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1150,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1200,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1250,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1300,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1350,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1400,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1450,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1500,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1550,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1600,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1650,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
1700,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10
