0,4.4,0.2777777778,198.6111111111,,,,
1.207192542,4.2493152017,0.3448440301,180.1678917194,,1.456,2.663,0.41
1.5820896959,4.2040717929,0.3656716498,174.4402963126,,2.865,4.072,0.5
1.9569868498,4.1614006337,0.3864992694,168.7127009058,,4.24,5.447,0.58
2.3318840037,4.1205433014,0.4073268891,162.985105499,,5.615,6.822,0.657
2.7067811575,4.0812964503,0.4281545088,157.2575100938,,6.99,8.197,0.73
3.0816783114,4.0432590181,0.4489821284,151.5299146869,,8.364,9.571,0.81
3.4565754653,4.0062505947,0.4698097481,145.8023192801,,9.64,10.847,0.88
3.8314726192,3.9700642224,0.4906373677,140.0747238733,,10.174,11.381,0.907
4.2063697731,3.9354199201,0.5114649874,134.3471284665,,,,
4.581266927,3.9024199959,0.5322926071,128.6195330597,,,,
4.9561640808,3.8702950289,0.5531202267,122.8919376544,,,,
5.3310612347,3.8419558332,0.5739478464,117.1643422476,,,,
5.7059583886,3.8214495454,0.594775466,111.4367468408,,,,
6.0808555425,3.8049399183,0.6156030857,105.709151434,,,,
6.4557526964,3.7913940494,0.6364307054,99.9815560272,,,,
6.8306498503,3.7776771118,0.657258325,94.2539606204,,,,
7.2055470042,3.7657555959,0.6780859447,88.5263652136,,,,
7.580444158,3.7549695437,0.6989135643,82.7987698083,,,,
7.9553413119,3.7448024559,0.719741184,77.0711744015,,,,
8.3302384658,3.7344592633,0.7405688037,71.3435789947,,,,
8.7051356197,3.7225047315,0.7613964233,65.6159835879,,,,
9.0800327736,3.71,0.782224043,59.8883881811,,,,
9.4549299275,3.7,0.8030516626,54.1607927743,,,,
9.8298270814,3.687,0.8238792823,48.4331973675,,,,
10.2047242352,3.677,0.844706902,42.7056019622,,,,
10.954518543,3.655,0.8863621413,31.2504111486,,,,
11.3294156969,3.6372704326,0.9071897609,25.5228157418,,,,
11.7043128508,3.6197772149,0.9280173806,19.795220335,,,,
12.0792100047,3.6,0.9488450003,14.0676249282,,,,
12.2,3.59,0.9555555556,12.2222222222,,,,
12.4,3.57,0.9666666667,9.1666666667,,,,
12.6,3.53,0.9777777778,6.1111111111,,,,
12.8,3.4,0.9888888889,3.0555555556,,,,
13,3,1,0,,,,
