0,273,278.15,283.15,293.15,298.15,303.15,323.15,333
1,0.3936148119,0.6421494149,1.0599532268,2.0042044471,3.0285734973,5.1948493389,18.0267574047,34.8984607188
0.85,0.3936148119,0.6421494149,1.0599532268,2.0042044471,3.0285734973,5.1948493389,18.0267574047,34.8984607188
0.753,0.3936148119,0.6421494149,1.0599532268,2.0042044471,3.0285734973,5.1948493389,18.0267574047,34.8984607188
0.642,0.4769791658,0.7781513372,1.1508178977,2.1944920312,3.3161189796,6.3804445057,20.699467442,40.0726284384
0.532,0.584320487,0.9532696624,1.3273623985,2.7553259312,4.1636007265,9.0933703966,23.3347633281,45.1743651454
0.422,0.6828783752,1.1140585563,1.5281838703,2.9988091988,4.5315307409,14.9525806888,25.3224328921,50
0.317,0.5974241529,0.9746471897,1.5410725237,3.6763077015,5.5553055424,8.2811301705,36.1378773569,69.960241051
0.207,0.5974241529,0.9746471897,1.5410725237,3.6763077015,5.5553055424,8.2811301705,36.1378773569,69.960241051
0.104,0.5974241529,0.9746471897,1.5410725237,3.6763077015,5.5553055424,8.2811301705,36.1378773569,69.960241051
0.065,0.5974241529,0.9746471897,1.5410725237,3.6763077015,5.5553055424,8.2811301705,36.1378773569,69.960241051
0,0.5974241529,0.9746471897,1.5410725237,3.6763077015,5.5553055424,8.2811301705,36.1378773569,69.960241051
