StepNumber,StepName,InputType,InputValue,StepDuration_sec,dt,StepTemp_C,VoltControlOn_chg,VoltControlOn_cdhg,VoltMax,VoltMin,CathodeMax,CathodeMin,AnodeMax,AnodeMin
1,Init_Rest,Rest,0,1,0.45,25,0,0,4.2,2.5,4.35,3,1.1,0.001
2,CC_discharge,Crate,-1,10,2,25,0,0,4.2,2.5,4.35,3,1.1,0.001
